Test Leap Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-1.6456,-1.40193,25.6778,0.277506,-0.392892,0.299738,1.452,
9,24,267,-1.66243,-1.40373,25.7603,0.278469,-0.39263,0.301941,1.473,
9,24,267,-1.69601,-1.3893,25.8575,0.281079,-0.393812,0.30405,1.493,
9,24,267,-1.70783,-1.38949,25.9117,0.283175,-0.392964,0.305846,1.512,
9,24,267,-1.71504,-1.39557,25.9668,0.284808,-0.392848,0.307818,1.532,
9,24,267,-1.71076,-1.42054,26.0398,0.288868,-0.391572,0.309979,1.552,
9,24,267,-1.7019,-1.46708,26.1749,0.297646,-0.38519,0.309842,1.571,
9,24,267,-1.69638,-1.49981,26.2751,0.304077,-0.380515,0.310622,1.589,
9,24,267,-1.68772,-1.53961,26.3909,0.31113,-0.376733,0.308618,1.609,
9,24,267,-1.68743,-1.56865,26.5022,0.31693,-0.375033,0.303877,1.629,
9,24,267,-1.70056,-1.5815,26.6068,0.321688,-0.374185,0.298156,1.652,
9,24,267,-1.71302,-1.58133,26.658,0.320924,-0.375371,0.296758,1.672,
9,24,267,-1.7305,-1.57642,26.7123,0.318887,-0.375631,0.296803,1.69,
9,24,267,-1.75063,-1.57033,26.7737,0.314736,-0.376565,0.297106,1.709,
9,24,267,-1.77833,-1.56444,26.8683,0.308042,-0.377914,0.298264,1.73,
9,24,267,-1.79011,-1.56988,26.9382,0.306088,-0.37552,0.298825,1.751,
9,24,267,-1.82115,-1.56877,27.0653,0.306397,-0.372254,0.301627,1.77,
9,24,267,-1.84829,-1.56089,27.152,0.306839,-0.37406,0.303887,1.79,
9,24,267,-1.87179,-1.55505,27.2313,0.306036,-0.377019,0.305903,1.809,
9,24,267,-1.88099,-1.57143,27.3285,0.307259,-0.378866,0.307348,1.829,
9,24,267,-1.87758,-1.61726,27.4777,0.312369,-0.376564,0.309911,1.853,
9,24,267,-1.85949,-1.66978,27.5935,0.319135,-0.37171,0.310595,1.872,
9,24,267,-1.809,-1.77858,27.7992,0.329473,-0.362972,0.308263,1.893,
9,24,267,-1.76509,-1.85388,27.9232,0.33532,-0.355551,0.301446,1.913,
9,24,267,-1.73158,-1.91406,28.0382,0.339013,-0.350719,0.293628,1.933,
9,24,267,-1.70725,-1.96342,28.1499,0.339272,-0.347874,0.287112,1.946,
9,24,267,-1.70244,-1.99305,28.2533,0.339409,-0.344795,0.282398,1.967,
9,24,267,-1.70734,-2.00174,28.3055,0.34015,-0.344049,0.280245,1.984,
9,24,267,-1.78465,-1.98236,28.4989,0.337915,-0.341853,0.281427,2.003,
9,24,267,-1.83612,-1.96518,28.6158,0.336681,-0.341284,0.285127,2.023,
9,24,267,-1.89168,-1.95101,28.7632,0.337413,-0.341231,0.288894,2.046,
9,24,267,-1.97012,-1.94622,29.0337,0.343266,-0.336172,0.289256,2.07,
