Test motor Data
q1,q2,q3,q6,q7
7.97719,12.2775,9.42447,3.79982,0.355992,
8.0302,12.3319,9.46584,3.76332,0.35763,
8.07659,12.384,9.50694,3.72956,0.359011,
8.12153,12.4306,9.5392,3.69802,0.360189,
8.16701,12.4806,9.57614,3.66621,0.361275,
8.21596,12.5353,9.6164,3.63107,0.362416,
8.25989,12.5875,9.65388,3.6011,0.363282,
8.30399,12.6387,9.69113,3.57236,0.364128,
8.34734,12.6879,9.73033,3.54469,0.365049,
8.38914,12.7401,9.76423,3.52229,0.365896,
8.43326,12.7938,9.80551,3.49904,0.367074,
8.48164,12.851,9.84698,3.47875,0.368565,
8.52487,12.9066,9.88292,3.46279,0.370185,
8.56684,12.9566,9.91919,3.45127,0.371915,
8.60566,13.0051,9.9537,3.44295,0.373793,
8.64507,13.0544,9.98882,3.43733,0.3758,
8.68586,13.1057,10.0253,3.43496,0.377917,
8.72339,13.1552,10.0599,3.43437,0.37996,
8.76287,13.2037,10.095,3.43634,0.382114,
8.80066,13.2525,10.1323,3.43855,0.383973,
8.83761,13.3008,10.1637,3.4403,0.385538,
8.87463,13.3515,10.2015,3.44142,0.387158,
8.91771,13.4082,10.239,3.44142,0.388391,
8.95586,13.4559,10.2733,3.43801,0.38933,
8.99332,13.5038,10.3076,3.43262,0.390103,
9.02696,13.5477,10.3386,3.42608,0.390693,
9.06091,13.5874,10.368,3.41918,0.391282,
9.09593,13.6292,10.3987,3.41185,0.391981,
9.13035,13.673,10.4299,3.40482,0.392809,
9.16818,13.7127,10.4608,3.39878,0.393914,
9.20342,13.7523,10.4957,3.39407,0.395166,
9.23919,13.7938,10.5217,3.39127,0.396731,
9.27616,13.8329,10.5523,3.39019,0.398627,
9.31419,13.8749,10.5846,3.39177,0.400965,
9.34694,13.9111,10.6125,3.39595,0.403303,
9.38016,13.9478,10.6407,3.40267,0.405898,
9.41066,13.9833,10.6673,3.4115,0.408586,
9.44458,14.0228,10.7016,3.42505,0.41166,
9.48125,14.0607,10.7272,3.44133,0.414735,
9.51545,14.0992,10.7589,3.46178,0.417901,
9.55204,14.142,10.7887,3.48531,0.420938,
9.58578,14.1784,10.8192,3.50937,0.423608,
9.61977,14.2184,10.8489,3.53573,0.426295,
9.65892,14.2626,10.8822,3.56345,0.428652,
9.6995,14.3066,10.9136,3.59097,0.430971,
9.73188,14.343,10.9432,3.61281,0.432738,
9.76742,14.3844,10.9737,3.63458,0.434524,
9.80221,14.4227,11.0001,3.65262,0.436181,
9.84082,14.4625,11.0309,3.66995,0.438022,
9.87992,14.5038,11.0623,3.68491,0.439697,
9.92039,14.5473,11.095,3.69762,0.441299,
9.96207,14.5873,11.1267,3.70711,0.442679,
