Test PMAC Forward Kinematics Motion Data
Time min, sec, ms,X,Y,Z,Roll,Pitch,Yaw,time from start
9,24,267,-1.00138,0.0663683,26.489,0.275802,0.00474826,-0.0715213,1.367,
9,24,267,-1.00332,0.0229807,26.489,0.277735,0.00164414,-0.0716589,1.387,
9,24,267,-1.00336,-0.0208935,26.489,0.278766,-0.00149481,-0.0716622,1.408,
9,24,267,-1.00153,-0.0641747,26.489,0.278766,-0.00459132,-0.0715314,1.429,
9,24,267,-0.998255,-0.103239,26.489,0.278766,-0.00738606,-0.0712987,1.452,
9,24,267,-0.992953,-0.145657,26.489,0.277294,-0.0104206,-0.0709212,1.473,
9,24,267,-0.986959,-0.18189,26.489,0.276097,-0.0130125,-0.0704945,1.493,
9,24,267,-0.98019,-0.215408,26.489,0.274937,-0.0154101,-0.0700126,1.512,
9,24,267,-0.972135,-0.24925,26.489,0.273998,-0.0178306,-0.0694391,1.532,
9,24,267,-0.963053,-0.282312,26.489,0.273372,-0.0201952,-0.0687925,1.552,
9,24,267,-0.954407,-0.310288,26.489,0.272894,-0.0221958,-0.0681768,1.571,
9,24,267,-0.943742,-0.341355,26.489,0.272894,-0.0244173,-0.0674172,1.589,
9,24,267,-0.933876,-0.367488,26.489,0.273777,-0.0262857,-0.0667146,1.609,
9,24,267,-0.921108,-0.398412,26.489,0.276152,-0.0284965,-0.0658051,1.629,
9,24,267,-0.909796,-0.423608,26.489,0.278895,-0.0302976,-0.0649992,1.652,
9,24,267,-0.899148,-0.445979,26.4894,0.282117,-0.0318975,-0.0642426,1.672,
9,24,267,-0.888619,-0.467432,26.4928,0.286148,-0.0334254,-0.0634822,1.69,
9,24,267,-0.877965,-0.48847,26.4984,0.29099,-0.0349201,-0.0627078,1.709,
9,24,267,-0.867143,-0.509524,26.5079,0.296328,-0.0364081,-0.0619099,1.73,
9,24,267,-0.856367,-0.530398,26.5227,0.301796,-0.0378716,-0.0610997,1.751,
9,24,267,-0.847666,-0.547249,26.5399,0.306324,-0.0390452,-0.0604366,1.77,
9,24,267,-0.838744,-0.564976,26.5644,0.310466,-0.0402665,-0.0597394,1.79,
9,24,267,-0.831135,-0.580689,26.5934,0.313522,-0.0413334,-0.0591249,1.809,
9,24,267,-0.824165,-0.596309,26.6316,0.315639,-0.0423758,-0.0585361,1.829,
9,24,267,-0.818634,-0.610429,26.6777,0.316468,-0.0432948,-0.0580329,1.853,
9,24,267,-0.814878,-0.621988,26.726,0.316468,-0.0440302,-0.0576581,1.872,
9,24,267,-0.813139,-0.631724,26.782,0.315179,-0.0446197,-0.0574082,1.893,
9,24,267,-0.812411,-0.639983,26.8393,0.313577,-0.0451028,-0.0572309,1.913,
9,24,267,-0.81235,-0.648045,26.9026,0.311884,-0.0455612,-0.0570903,1.933,
9,24,267,-0.812645,-0.653732,26.9507,0.311055,-0.0458782,-0.0570087,1.946,
9,24,267,-0.812347,-0.66201,27.016,0.310595,-0.0463491,-0.0568541,1.967,
9,24,267,-0.811483,-0.671636,27.0872,0.310595,-0.0469005,-0.0566469,1.984,
9,24,267,-0.809183,-0.683859,27.1661,0.313099,-0.0476237,-0.0563342,2.003,
9,24,267,-0.805053,-0.700144,27.2645,0.316909,-0.048588,-0.0558542,2.023,
9,24,267,-0.798687,-0.719441,27.3695,0.321751,-0.0497426,-0.0552111,2.046,
9,24,267,-0.792575,-0.736451,27.4638,0.325967,-0.0507647,-0.054626,2.07,
9,24,267,-0.786921,-0.751957,27.5499,0.329722,-0.051682,-0.0540805,2.088,
9,24,267,-0.780739,-0.769098,27.6488,0.333588,-0.0526827,-0.0534786,2.107,
9,24,267,-0.776096,-0.784167,27.746,0.336662,-0.0535393,-0.0529893,2.128,
9,24,267,-0.772421,-0.798626,27.8489,0.339387,-0.0543388,-0.0525591,2.148,
9,24,267,-0.770476,-0.811339,27.9537,0.341614,-0.0550089,-0.0522435,2.167,
9,24,267,-0.770402,-0.821771,28.0551,0.343216,-0.0555368,-0.0520717,2.187,
9,24,267,-0.77257,-0.831477,28.1682,0.344652,-0.0559856,-0.0520266,2.205,
9,24,267,-0.776718,-0.839313,28.2881,0.345812,-0.0562966,-0.052106,2.224,
